case_id,customer_query,expected_intent,predicted_intent,response,judge_score,judge_raw_output,human_score
142,"@SpotifyCares The Android version is 7.0, & this is happening off Wi-Fi, however, I haven't tried my 4G with the app since the issue started occurring. I should add that it seems to be pausing/skipping songs when I have my phone locked, more so than when I have my device unlocked.",playback,playback,"Thanks for reaching out! Let's troubleshoot the playback issue. Could you tell us what device you're using and which version of Spotify is installed? Also check whether Spotify is in Offline Mode and try restarting the app or your device. If the issue continues, let us know what happens when playback stops.",4,4,3.0
196,"Hey @SpotifyCares @117168, why can I see my playlists in the lefthand sidebar but no one can see them when they view my profile/they're unsearchable?",playlist,playlist,"Sorry you're having trouble with your playlist or songs. Could you tell us what device you're using and exactly what happens when you try to view, add, or play the songs?",4,4,2.0
93,@SpotifyCares why isn’t anything besides my predone playlist working? I can’t use the radio or search or home page or discover I pay 15 bucks a month I expect to be able to use what I pay for,playlist,playlist,"Sorry you're having trouble with your playlist or songs. Could you tell us what device you're using and exactly what happens when you try to view, add, or play the songs?",4,4,5.0
167,"@SpotifyCares Great customer service!👍 if there’s any way you can let your product teams know the new play view, such as on Spotify’s ‘mint’ playlist, is awesome... please add the option for this across the app! 😉 https://t.co/IwnieK03Ve",playlist,playlist,"Sorry you're having trouble with your playlist or songs. Could you tell us what device you're using and exactly what happens when you try to view, add, or play the songs?",5,5,1.0
109,"@SpotifyCares How does that make sense? I create playlists because that is what I want to listen to, why add totally random tracks to it?",playlist,playlist,"Sorry you're having trouble with your playlist or songs. Could you tell us what device you're using and exactly what happens when you try to view, add, or play the songs?",4,4,5.0
60,"@SpotifyCares Hi RR, here's the email with the dodgy dates, just thought I'd reciprocate amd reach out with a playlist as you guys do such a great job - https://t.co/oAo3dNvIWf https://t.co/SRbi38lnCv",playlist,playlist,"Sorry you're having trouble with your playlist or songs. Could you tell us what device you're using and exactly what happens when you try to view, add, or play the songs?",5,5,4.0
87,@SpotifyCares hi just got an email from you that my email address has been changed and it was NOT me. Concerned I've been hacked.,security,security,"I'm sorry you're dealing with this. Since your Spotify account or payment information may have been compromised, please secure your account immediately and follow Spotify's official account-recovery and security guidance. If you see an unauthorized payment or believe your card details were exposed, contact your payment provider as well. If you still have access to the account, let us know and we can help with the next steps.",1,1,3.0
124,@SpotifyCares hello...why cant my registration w/ your P9 promo using my debit card? is debit card accepted?,security,security,"I'm sorry you're dealing with this. Since your Spotify account or payment information may have been compromised, please secure your account immediately and follow Spotify's official account-recovery and security guidance. If you see an unauthorized payment or believe your card details were exposed, contact your payment provider as well. If you still have access to the account, let us know and we can help with the next steps.",1,1,2.0
4,@SpotifyCares I cant update my payment details bc it wants me to verify my student status (which I am not). Just want premium to not cancel.,security,security,"I'm sorry you're dealing with this. Since your Spotify account or payment information may have been compromised, please secure your account immediately and follow Spotify's official account-recovery and security guidance. If you see an unauthorized payment or believe your card details were exposed, contact your payment provider as well. If you still have access to the account, let us know and we can help with the next steps.",1,1,1.0
183,"Hey @SpotifyCares someone is using my Spotify account on devices I don't recognize, I think I may have been hacked. Help?",security,security,"I'm sorry you're dealing with this. Since your Spotify account or payment information may have been compromised, please secure your account immediately and follow Spotify's official account-recovery and security guidance. If you see an unauthorized payment or believe your card details were exposed, contact your payment provider as well. If you still have access to the account, let us know and we can help with the next steps.",5,5,3.0
160,"@SpotifyCares Hello, I'm not able to join back to a family plan. There's always an error showing up.",subscription,subscription,"We can help with your Spotify subscription. Could you tell us whether the issue is with Premium, a Family plan, or a Student plan, and what happens when you try to use or manage it?",1,1,4.0
41,@SpotifyCares hey most of my saved songs went and it’s a premium account,subscription,subscription,"We can help with your Spotify subscription. Could you tell us whether the issue is with Premium, a Family plan, or a Student plan, and what happens when you try to use or manage it?",4,4,2.0
150,My account was charged but not yet verified for student premium. Can i refund my money?@SpotifyCares,subscription,subscription,"We can help with your Spotify subscription. Could you tell us whether the issue is with Premium, a Family plan, or a Student plan, and what happens when you try to use or manage it?",4,4,4.0
129,@SpotifyCares I upgraded to premium for family.. premium redeem code keeps saying invalid. Please help!,subscription,subscription,"We can help with your Spotify subscription. Could you tell us whether the issue is with Premium, a Family plan, or a Student plan, and what happens when you try to use or manage it?",4,4,3.0
71,"@SpotifyCares hi, why is there only 3 options for premium, 1188,- 49,- AND 149,- when before i could pay 99,- or something per month. I want premium for myself, not my whole family AND i am not a student 🤔",subscription,subscription,"We can help with your Spotify subscription. Could you tell us whether the issue is with Premium, a Family plan, or a Student plan, and what happens when you try to use or manage it?",3,3,3
